tester,time,diff_shoulder,ratio_armR,ratio_armL,diff_hip,ratio_legR,ratio_legL
1,,0.006876349449157715,0.374575850272357,0.4529621873477577,0.004783332347869873,1.2346553134008695,1.0933908458702473
1,-4.999955892562866,0.006348848342895508,0.17653687007097757,0.22354880271630678,0.00698930025100708,1.2035760375886624,1.1458248092807979
1,-4.93192982673645,0.005293071269989014,0.059412330412610445,0.10644354034724292,0.006059885025024414,1.189135518520702,1.1205300111880498
1,-4.8668060302734375,0.00429004430770874,0.011300763505087892,0.04561131059870709,0.005443990230560303,1.18439615225988,1.1512547806896403
1,-4.800641775131226,0.0037309229373931885,0.049095197848585084,0.008524327659935563,0.005096316337585449,1.2096999811289428,1.1655968842468662
1,-4.732743978500366,0.0029952824115753174,0.047743978203624145,0.00887731075155238,0.0049037933349609375,1.2155313480225978,1.1667884816873346
1,-4.666656017303467,0.0022510886192321777,0.03575130378034717,0.0366758258772772,0.005081832408905029,1.2265691226817605,1.161914794964821
1,-4.600538730621338,0.00145721435546875,0.024985298437833557,0.06226452003407518,0.004953265190124512,1.2267989427303585,1.1639319931000334
1,-4.53291392326355,0.0005846917629241943,0.0010579943544109592,0.09343095560216379,0.005246281623840332,1.214377755801974,1.1470439060966127
1,-4.4682087898254395,0.00030809640884399414,0.029495406978285694,0.12180287109839132,0.00544428825378418,1.2183204691975222,1.140873710035665
1,-4.400461673736572,0.00034499168395996094,0.09436832087637678,0.21798193831532808,0.005486428737640381,1.2432132313893733,1.15597563818813
1,-4.332563877105713,0.0022034049034118652,0.5931953262544374,0.6920970998486543,0.005266845226287842,1.2678775732210847,1.1794675577420746
1,-4.2685158252716064,0.003037184476852417,4.49122711246727,26.34204115369557,0.002812683582305908,1.2816418010435449,1.2197430356949162
1,-4.196507930755615,0.0030794143676757812,0.986333281795461,1.13232795940143,0.002718508243560791,1.3060716678981223,1.2454426913512986
1,-4.134204864501953,0.001361072063446045,1.049720266065794,0.9016206108671911,0.002391815185546875,1.303549061479004,1.256817790517744
1,-4.06725287437439,0.0008426308631896973,1.1312863650664433,0.9867538671445312,0.002279818058013916,1.2677691043271617,1.2406800801296538
1,-4.001858711242676,0.004410922527313232,0.9952062975027144,0.9268371051952415,0.005887746810913086,1.3085394466078821,1.2172754685612022
1,-3.9348387718200684,0.007193446159362793,1.7751794199784487,0.93849761952692,0.0038045644760131836,1.3088131069154458,1.2285769697906228
1,-3.868340015411377,0.006917446851730347,1.092513823702436,0.9190859986838189,0.005203306674957275,1.3173070784890109,1.2207299430114391
1,-3.8001317977905273,0.005094617605209351,1.0105515240443321,0.8979365241277462,0.005189418792724609,1.3250550818313054,1.2185190700203434
1,-3.7346837520599365,0.0038444697856903076,1.0752176956772974,1.0011040784799212,0.005118072032928467,1.3137800588188677,1.2193090302893925
1,-3.667254686355591,0.0020251572132110596,1.198035785125622,1.0719386678583416,0.0037369132041931152,1.3109487130840318,1.2171730134570733
1,-3.6016058921813965,0.0012843012809753418,1.3222180181150307,1.1108933814833648,0.004277706146240234,1.2668128589784644,1.2208155477524945
1,-3.533756971359253,0.0008606910705566406,1.387086420883317,1.172665412315674,0.005789220333099365,1.2588388978826395,1.212566845953669
1,-3.469019889831543,0.0007290840148925781,1.4570018722878861,1.2085936688332108,0.005711197853088379,1.2596291679859137,1.209432786579135
